OrderID,OrderDate,CustomerName,Region,Product,Quantity,UnitPrice,Discount,PaymentMode
FX206950,2025-05-13,Aarav Mehta,West,Fish Curry Meals,1,325.71,0.25,Cash on Delivery
FX203535,2025-08-05,Kavya Subramanian,south,Spring Roll,7,160.59,0.0,Cash on Delivery
FX201059,2025-07-21,Rahul Sinha,north,Idli Sambar,6,88.11,0.0,Wallet
FX207512,02-20-2025,Yash Patel,west,Spring Roll,6,159.0,0.0,Card
FX204239,2025-12-21,Diya Nair,north,Chicken Biryani,6,286.11,0.25,Card
FX200204,02-10-2025,Riya Kapoor,North,Chicken Noodles,3,243.78,0.05,Card
FX208764,18/04/2025,Yash Patel,north,Green Salad,1,140.39,0.05,Card
FX206169,23/07/2025,Diya Nair,West,Idli Sambar,3,88.11,0.0,Wallet
FX205278,16/07/2025,Kabir Shah,East,Gulab Jamun,1,99.0,0.15,Wallet
FX201872,2025-10-10,,west,Veg Fried Rice,4,197.01,0.0,UPI
FX203849,2025-10-31,Diya Nair,West,Paneer Butter Masala,1,253.82,0.0,Wallet
FX207608,08/08/2025,Priya Balaji,North,Paneer Butter Masala,4,253.82,0.05,Cash on Delivery
FX204889,2025-01-13,Rohan Pillai,North,Margherita Pizza,6,246.51,,UPI
FX201380,2025-12-11,Aarav Mehta,North,Idli Sambar,3,89.0,0.1,Card
FX204268,2025-02-08,Rahul Sinha,SOUTH,Masala Dosa,8,131.58,0.25,Cash on Delivery
FX205277,28/09/2025,Nikhil Menon,north,Gulab Jamun,4,97.02,0.1,Card
FX200842,18/12/2025,Meera Krishnan,west,Cold Coffee,2,117.81,0.05,Card
FX206033,27/05/2025,Dev Sharma,south,Margherita Pizza,2,251.49,0.05,Wallet
FX205002,2025-03-26,Nisha Gupta,West,Fish Curry Meals,3,332.29,0.2,Card
FX201455,08-31-2025,Kabir Shah,north,Fish Curry Meals,1,332.29,0.05,Wallet
FX202447,06/08/2025,Yash Patel,EAST,Spring Roll,3,160.59,0.15,Wallet
FX205177,2025-08-05,Aditya Ghosh,EAST,Veg Fried Rice,7,200.99,0.05,Card
FX206206,15/04/2025,Aditya Ghosh,west,Chicken Biryani,3,283.22,,Wallet
FX208849,04-05-2025,Vihaan Rao,SOUTH,Spring Roll,8,159.0,0.2,UPI
FX203736,16/03/2025,Karthik Raman,south,Farmhouse Pizza,6,395.01,0.0,Wallet
FX208887,31/03/2025,Ananya Iyer,west,Margherita Pizza,7,249.0,0.0,UPI
FX204228,2025-10-20,Yash Patel,north,Idli Sambar,1,89.0,0.25,Card
FX207560,20/02/2025,Arjun Verma,West,Mango Lassi,5,110.09,0.0,UPI
FX206575,2025-01-16,Rohan Pillai,East,Chicken Biryani,7,291.89,0.0,Wallet
FX207547,16/06/2025,Riya Kapoor,North,Fish Curry Meals,3,329.0,0.0,Cash on Delivery
FX203578,2025-06-18,Arjun Verma,West,Chicken Noodles,4,239.0,0.15,UPI
FX203551,2025-09-26,Rohan Pillai,EAST,Chicken Noodles,8,239.0,0.15,Card
FX202086,2025-07-05,Karthik Raman,south,Chicken Noodles,6,241.39,0.25,Wallet
FX200179,27/05/2025,Kavya Subramanian,EAST,Idli Sambar,1,88.11,0.1,Wallet
FX207806,11-07-2025,Aditya Ghosh,North,Chicken Biryani,5,294.78,0.25,UPI
FX200356,2025-05-10,Nisha Gupta,north,Filter Coffee,8,58.41,0.1,Cash on Delivery
FX204799,10-21-2025,Saanvi Reddy,north,Gulab Jamun,7,97.02,0.2,Cash on Delivery
FX204301,2025-09-29,Saanvi Reddy,south,Cold Coffee,8,116.62,0.0,Cash on Delivery
FX204211,2025-04-22,Yash Patel,west,Paneer Butter Masala,7,253.82,0.1,Wallet
FX200657,03-25-2025,Kabir Shah,West,Fish Curry Meals,3,322.42,,Card
FX203922,2025-05-30,Arjun Verma,North,Filter Coffee,6,57.82,,UPI
FX201989,03-21-2025,Yash Patel,SOUTH,Chicken Biryani,1,291.89,0.0,UPI
FX208571,07-20-2025,Rahul Sinha,North,Butter Naan,8,45.0,0.0,Cash on Delivery
FX201045,2025-02-20,Omkar Deshpande,North,Butter Naan,3,44.1,0.25,UPI
FX206436,12-24-2025,Rohan Pillai,EAST,Paneer Butter Masala,5,253.82,0.05,Cash on Delivery
FX208455,27/04/2025,Nisha Gupta,west,Chocolate Brownie,5,151.98,0.0,Cash on Delivery
FX204872,16/02/2025,Yash Patel,west,Mutton Roll,1,281.79,0.0,Card
FX204809,2025-03-09,Nisha Gupta,west,Gulab Jamun,4,100.98,,Cash on Delivery
FX205986,09-20-2025,Rohan Pillai,west,Green Salad,5,136.22,0.0,Cash on Delivery
FX204605,04/02/2025,Arjun Verma,North,Butter Naan,1,45.9,0.2,UPI
FX201981,06-24-2025,Karthik Raman,north,Masala Dosa,1,131.58,0.1,Card
FX202227,12/11/2025,Ananya Iyer,SOUTH,Farmhouse Pizza,3,406.98,0.25,Cash on Delivery
FX206764,2025-09-25,Ananya Iyer,SOUTH,Spring Roll,6,155.82,0.2,UPI
FX205387,2025-07-13,Omkar Deshpande,west,Paneer Butter Masala,4,253.82,0.0,Cash on Delivery
FX206685,12/02/2025,Nisha Gupta,SOUTH,Chicken Noodles,1,241.39,0.0,UPI
FX201440,2025-02-27,Omkar Deshpande,West,Masala Dosa,1,126.42,0.2,Wallet
FX202108,2025-05-05,Tara Joshi,North,Tandoori Chicken,2,457.98,,Cash on Delivery
FX204223,02-05-2025,Tara Joshi,SOUTH,Paneer Butter Masala,1,256.41,0.0,Card
FX206641,2025-04-12,Rahul Sinha,North,Mango Lassi,1,111.18,0.15,UPI
FX200640,2025-07-14,Nisha Gupta,EAST,Idli Sambar,1,87.22,0.2,Card
FX204918,16/04/2025,Arjun Verma,East,Green Salad,1,139.0,0.0,Card
FX205526,07/09/2025,Manish Tiwari,North,Margherita Pizza,2,253.98,0.2,Wallet
FX206931,08-21-2025,Yash Patel,SOUTH,Chicken Noodles,3,241.39,0.1,Card
FX207697,18/03/2025,Yash Patel,north,Veg Biryani,6,216.81,0.25,Wallet
FX204001,10/03/2025,Aarav Mehta,EAST,Margherita Pizza,1,251.49,0.05,UPI
FX206412,20/11/2025,Vihaan Rao,south,Gulab Jamun,5,98.01,0.0,Card
FX208820,18/01/2025,Saanvi Reddy,west,Idli Sambar,5,90.78,0.2,Cash on Delivery
FX201076,2025-03-29,Priya Balaji,north,Fish Curry Meals,6,325.71,0.0,UPI
FX207052,04-10-2025,Ishita Bose,East,Farmhouse Pizza,3,406.98,0.15,Wallet
FX206048,05-18-2025,Yash Patel,west,Spring Roll,3,162.18,0.0,Cash on Delivery
FX205046,04-13-2025,Diya Nair,SOUTH,Veg Biryani,4,221.19,0.0,Cash on Delivery
FX208138,2025-02-24,Nisha Gupta,North,Veg Fried Rice,3,199.0,0.0,Card
FX208681,26/03/2025,Diya Nair,north,Veg Biryani,4,214.62,0.2,UPI
FX201974,2025-12-13,Aarav Mehta,SOUTH,Paneer Butter Masala,5,256.41,0.0,UPI
FX206902,2025-03-07,Vihaan Rao,East,Paneer Butter Masala,2,264.18,0.15,Wallet
FX204048,04/06/2025,Dev Sharma,West,Farmhouse Pizza,8,395.01,0.0,Wallet
FX207075,2025-01-04,Diya Nair,East,Veg Fried Rice,5,199.0,0.15,UPI
FX202635,2025-07-09,Ananya Iyer,west,Farmhouse Pizza,2,391.02,0.0,Cash on Delivery
FX206378,16/01/2025,Nikhil Menon,East,Mango Lassi,2,107.91,0.05,UPI
